synergy,drug1_db,drug2_db,proteinsInCommon
2.22,DB00481,DB00351,0
-0.86,DB01006,DB04868,0
2.27,DB01259,DB01268,5
-0.9,DB00563,DB01033,0
-0.49,DB00482,DB00755,0
3.04,DB00482,DB01030,0
-2.68,DB00399,DB00724,0
2.89,DB01006,DB01259,0
20.94,DB04845,DB00188,0
2.84,DB01229,DB01217,0
1.67,DB00619,DB01033,0
0.17,DB01204,DB00290,0
6.28,DB00481,DB00755,0
-1.63,DB04868,DB00928,0
-1.0,DB01259,DB00947,0
1.53,DB00481,DB01204,0
-1.44,DB01259,DB00290,0
-6.99,DB00481,DB00694,0
-5.24,DB00648,DB00947,0
3.46,DB00648,DB06813,0
-0.66,DB00481,DB01006,0
-0.66,DB00399,DB01033,0
5.64,DB01268,DB00290,0
1.05,DB00482,DB00675,0
-1.19,DB01073,DB00188,0
5.03,DB00481,DB01073,0
2.99,DB01005,DB00563,0
4.58,DB00724,DB04845,0
3.42,DB00755,DB04868,0
-2.22,DB00619,DB01259,1
-0.18,DB00724,DB00188,0
-7.39,DB01033,DB00262,0
2.54,DB00553,DB04845,0
3.93,DB00482,DB01217,0
2.46,DB06813,DB04845,0
-9.7,DB01229,DB01030,0
-2.17,DB01030,DB00262,0
7.67,DB01006,DB01103,0
-10.45,DB00928,DB01259,0
-4.91,DB00675,DB01005,0
-1.47,DB00675,DB00947,1
2.85,DB00482,DB01217,0
-1.86,DB01005,DB00553,0
-5.0,DB01033,DB00553,0
-7.31,DB01217,DB04845,0
3.33,DB01259,DB01041,0
-4.74,DB00481,DB00648,0
-3.2,DB00290,DB00563,0
2.56,DB00482,DB00648,0
2.31,DB00619,DB00553,0
-1.29,DB00481,DB00648,0
-2.27,DB01254,DB00648,0
-3.18,DB00928,DB01103,0
-0.27,DB01041,DB00553,0
-6.86,DB00563,DB01030,0
-1.47,DB00947,DB00398,0
-0.59,DB00619,DB01268,21
-2.1,DB00947,DB01217,0
-0.38,DB00482,DB01143,0
3.82,DB01006,DB01259,0
-2.87,DB01103,DB01143,0
0.42,DB00481,DB01217,0
-8.3,DB00928,DB00563,0
0.82,DB00563,DB00724,0
-3.07,DB06813,DB01033,0
-3.31,DB00563,DB01143,0
-7.39,DB00675,DB01041,0
1.21,DB00380,DB01143,0
-4.78,DB01254,DB00290,0
-4.17,DB01254,DB00399,0
-0.43,DB06813,DB01030,0
2.46,DB00928,DB01259,0
-11.24,DB00482,DB00947,0
4.71,DB01006,DB00188,0
2.25,DB00398,DB00563,0
1.15,DB00755,DB00928,0
1.89,DB00444,DB00563,0
2.83,DB00482,DB00648,0
0.76,DB00928,DB01217,0
3.23,DB00675,DB00188,0
-0.92,DB00675,DB00648,0
12.4,DB01005,DB00648,0
0.19,DB01006,DB00619,0
-1.28,DB01073,DB01259,0
-3.06,DB00755,DB01143,0
-6.0,DB00987,DB01033,0
-2.36,DB00482,DB00675,0
-0.22,DB01030,DB00188,0
-6.28,DB01254,DB01103,0
-1.24,DB00399,DB06813,0
-7.03,DB00262,DB01143,0
1.07,DB01006,DB00987,0
-0.4,DB01254,DB00724,0
1.07,DB01259,DB01268,5
0.19,DB01006,DB00553,0
-5.67,DB01030,DB04845,0
2.23,DB00481,DB01268,0
-0.12,DB00380,DB01143,0
0.95,DB00481,DB01204,0
-1.99,DB01073,DB01005,1
-5.47,DB01030,DB00262,0
-3.86,DB01030,DB00262,0
-10.49,DB00481,DB01103,1
-2.23,DB01073,DB00619,0
4.02,DB00553,DB04845,0
-6.24,DB00755,DB00724,0
7.27,DB00481,DB00544,0
9.02,DB00480,DB00563,0
4.71,DB01006,DB01005,0
-2.06,DB00399,DB01030,0
6.8,DB01006,DB01073,0
0.76,DB01073,DB04868,0
2.43,DB01229,DB06813,0
-5.58,DB00928,DB00188,0
2.23,DB01073,DB01268,0
-0.5,DB00398,DB00399,0
-0.74,DB00480,DB01143,0
-8.11,DB01030,DB00262,0
-0.65,DB01006,DB00987,0
-3.13,DB04868,DB00188,0
-1.99,DB00482,DB00290,0
-12.07,DB00290,DB00947,0
-3.55,DB00398,DB01030,0
1.83,DB00444,DB01254,0
-1.51,DB00481,DB06813,0
2.42,DB00481,DB00188,0
-0.28,DB00544,DB00290,0
-0.08,DB00619,DB00928,0
0.28,DB00482,DB00619,1
2.43,DB06813,DB00553,0
-5.75,DB01254,DB01030,0
0.6,DB00482,DB00947,0
-5.08,DB00987,DB01268,0
-5.38,DB00928,DB00188,0
-3.38,DB00928,DB01030,0
-7.92,DB00928,DB01143,0
0.71,DB01268,DB00724,0
-0.39,DB00480,DB00563,0
3.04,DB00947,DB01143,0
-0.65,DB01259,DB01217,0
-2.26,DB04868,DB01254,25
2.71,DB01006,DB00648,0
-4.52,DB00290,DB01030,0
4.24,DB00481,DB00947,1
-2.62,DB00648,DB00399,0
-2.85,DB00482,DB01005,0
0.14,DB00563,DB00724,0
0.13,DB06813,DB01041,0
-10.04,DB01229,DB00928,0
-0.68,DB00947,DB00399,0
-3.76,DB01030,DB04845,0
-0.91,DB01103,DB00188,0
1.6,DB01006,DB04868,0
-5.79,DB01217,DB00928,0
-9.35,DB01206,DB01143,0
1.18,DB01073,DB00648,0
1.12,DB00928,DB00563,0
-7.15,DB00987,DB00724,0
-7.7,DB00987,DB00399,0
1.28,DB00755,DB00675,0
2.27,DB00675,DB06813,0
3.33,DB00675,DB04845,0
0.14,DB01005,DB00398,0
-2.61,DB04868,DB00648,0
-3.37,DB01259,DB01217,0
0.54,DB01268,DB00290,0
-0.55,DB00755,DB00262,0
1.7,DB00482,DB00188,0
-1.31,DB00481,DB00694,0
0.79,DB01268,DB01143,0
6.32,DB00398,DB00563,0
-1.06,DB00399,DB00724,0
-2.47,DB01033,DB00188,0
-1.06,DB00675,DB01259,1
-5.54,DB00262,DB01143,0
4.23,DB01006,DB01030,0
-0.4,DB00755,DB01005,0
4.55,DB01006,DB06813,0
-3.76,DB00755,DB01259,0
-2.2,DB00928,DB01217,0
-3.92,DB00987,DB00262,0
-7.04,DB00619,DB00928,0
-2.1,DB01005,DB01103,0
0.85,DB04868,DB00724,0
0.12,DB01229,DB01268,0
-0.35,DB00399,DB00553,0
-0.57,DB00675,DB00553,0
0.65,DB01229,DB00648,0
-1.3,DB01229,DB01041,0
-0.23,DB00675,DB01030,0
0.47,DB01033,DB00724,0
1.02,DB01268,DB06813,0
-2.9,DB00563,DB00619,0
-5.17,DB01254,DB00290,0
-1.31,DB04868,DB00188,0
0.77,DB00987,DB00648,0
-3.86,DB01268,DB00398,40
3.9,DB04868,DB06813,0
-1.45,DB01006,DB00482,0
35.71,DB01103,DB00724,0
1.93,DB01229,DB00947,0
2.34,DB00351,DB00563,0
11.0,DB01259,DB01041,0
0.6,DB04868,DB00399,0
-2.78,DB00928,DB01268,0
-4.53,DB00481,DB00987,0
-1.42,DB00619,DB01143,0
-0.65,DB00619,DB00947,0
4.82,DB00482,DB00947,0
-5.36,DB01229,DB04845,0
12.44,DB01254,DB01268,34
0.22,DB00694,DB01143,0
-3.24,DB00648,DB00947,0
-2.24,DB00481,DB00399,0
-2.96,DB00482,DB01033,0
8.44,DB00675,DB00188,0
-0.95,DB01229,DB01041,0
-11.67,DB00290,DB00724,0
3.65,DB00648,DB04845,0
-1.36,DB06813,DB00563,1
1.83,DB00987,DB01005,0
6.61,DB00675,DB01254,1
-3.51,DB00928,DB01005,0
-2.56,DB00398,DB00188,0
3.42,DB00481,DB00724,0
5.53,DB00481,DB08881,0
0.31,DB01259,DB01143,0
0.13,DB00675,DB01143,0
2.06,DB01217,DB00188,0
7.43,DB00619,DB01041,0
4.61,DB00947,DB01143,0
0.7,DB01073,DB00619,0
2.9,DB01217,DB01103,0
-5.31,DB00398,DB00724,0
1.74,DB01006,DB00648,0
-2.53,DB01006,DB00987,0
-5.1,DB01073,DB00398,0
2.24,DB04868,DB00724,0
-3.1,DB01254,DB00563,0
1.63,DB01005,DB00947,0
-4.45,DB01217,DB01103,0
-4.23,DB01268,DB00188,0
-5.66,DB01259,DB01005,0
1.39,DB01254,DB00724,0
-1.03,DB01041,DB00262,0
-3.25,DB01254,DB00398,29
0.56,DB00947,DB01143,0
1.96,DB00399,DB01217,0
-2.06,DB00755,DB04845,0
-0.9,DB00481,DB00675,5
-1.01,DB00317,DB00563,0
-3.35,DB04868,DB01103,0
1.74,DB00987,DB01143,0
-3.81,DB00481,DB01229,0
0.27,DB01073,DB04868,0
0.26,DB00648,DB00947,0
-0.52,DB00563,DB00755,0
10.25,DB00619,DB04845,0
-0.67,DB00648,DB01030,0
-0.11,DB01005,DB01033,0
11.15,DB00481,DB00694,0
-5.03,DB01229,DB00928,0
1.39,DB01006,DB00675,0
1.22,DB06813,DB00262,0
1.11,DB00755,DB00675,0
-0.83,DB01217,DB06813,0
1.25,DB00755,DB01103,0
-7.3,DB00444,DB01259,0
6.22,DB00481,DB01204,0
-1.03,DB00648,DB00399,0
0.53,DB00947,DB06813,0
3.96,DB00947,DB00398,0
2.49,DB00675,DB01254,1
-3.7,DB00724,DB01030,0
2.45,DB00481,DB00987,0
-0.88,DB01229,DB00188,0
-1.2,DB00987,DB00262,0
-4.7,DB00380,DB00563,0
0.53,DB01006,DB01268,0
19.19,DB00481,DB01254,0
-2.01,DB01041,DB00553,0
1.63,DB00947,DB01041,0
9.62,DB01229,DB00398,0
-15.51,DB00563,DB00987,0
-4.46,DB01006,DB01030,0
0.08,DB00619,DB01268,21
-0.85,DB01005,DB00188,0
-1.27,DB01268,DB00398,40
-1.17,DB00755,DB00947,0
-0.14,DB00928,DB01041,0
-1.49,DB00619,DB01030,1
-2.72,DB00399,DB01030,0
0.04,DB00482,DB01259,0
2.23,DB01229,DB00290,0
3.72,DB00262,DB04845,0
2.87,DB00398,DB01217,0
-0.48,DB00694,DB00563,0
0.54,DB01217,DB00553,0
1.69,DB01006,DB00563,0
-6.37,DB01073,DB01041,0
2.76,DB00482,DB00399,0
7.32,DB00290,DB04845,0
-1.78,DB00947,DB00188,0
-12.5,DB01229,DB00553,0
-1.1,DB01268,DB01005,0
5.77,DB00675,DB00398,1
15.02,DB00481,DB01259,0
-6.04,DB01259,DB00947,0
8.62,DB00481,DB01041,0
-2.56,DB01033,DB04845,0
4.38,DB00290,DB01143,0
-0.38,DB00755,DB01041,0
-0.47,DB01254,DB00648,0
-1.56,DB01041,DB00553,0
-6.4,DB00553,DB00724,0
-1.24,DB00755,DB00619,0
-5.23,DB00694,DB01143,0
-2.57,DB01254,DB00262,0
11.65,DB00481,DB01268,0
-1.54,DB00675,DB00553,0
2.26,DB01006,DB01229,0
-2.62,DB01006,DB00947,0
1.43,DB00648,DB04845,0
-0.85,DB00481,DB00188,0
-0.4,DB00619,DB01268,21
4.72,DB01006,DB00563,0
-0.6,DB00755,DB01041,0
-2.55,DB04868,DB01103,0
1.94,DB01217,DB01143,0
-3.88,DB01033,DB04845,0
0.58,DB06813,DB00188,0
-5.17,DB00987,DB00188,0
-4.53,DB00724,DB00262,0
-6.12,DB00648,DB01033,0
8.57,DB00482,DB01073,0
1.27,DB00675,DB06813,0
-0.28,DB01254,DB00398,29
-4.62,DB00563,DB00262,0
4.12,DB00947,DB00188,0
8.13,DB00619,DB01229,0
-5.32,DB01254,DB01005,0
-0.99,DB00755,DB00947,0
4.41,DB04868,DB01254,25
-3.05,DB00694,DB01254,0
1.4,DB00482,DB04845,0
-2.28,DB01268,DB00290,0
8.79,DB04868,DB01268,28
-3.41,DB00724,DB00188,0
3.19,DB01217,DB06813,0
9.44,DB01217,DB00563,0
-0.27,DB01229,DB01217,0
9.16,DB00481,DB00553,0
2.28,DB01005,DB01033,0
-0.04,DB00481,DB01254,0
1.63,DB01005,DB00553,0
-3.36,DB01204,DB00563,0
-5.54,DB00928,DB01254,0
-1.34,DB01268,DB00947,0
-1.67,DB00619,DB00553,0
-0.19,DB01217,DB01143,0
-0.01,DB00481,DB00563,0
2.59,DB00619,DB04845,0
2.6,DB00675,DB04845,0
3.89,DB00755,DB01143,0
-2.91,DB01005,DB00724,0
0.83,DB01073,DB00724,0
-3.41,DB00351,DB00563,0
3.55,DB00481,DB00398,2
1.04,DB01006,DB00399,0
0.14,DB00619,DB01254,13
2.03,DB00648,DB00262,0
-3.46,DB01073,DB00262,0
1.63,DB08881,DB00563,0
-3.18,DB01254,DB00188,0
-12.87,DB00290,DB00947,0
0.14,DB00648,DB01143,0
-4.27,DB01206,DB01254,0
2.68,DB00563,DB00482,0
-2.2,DB01005,DB00290,0
5.95,DB00619,DB01268,21
0.1,DB00928,DB04845,0
1.54,DB01006,DB00553,0
-1.84,DB01033,DB04868,0
-4.88,DB01073,DB01103,0
2.04,DB01073,DB00619,0
6.18,DB06813,DB00188,0
0.39,DB00755,DB01030,0
-2.46,DB00481,DB00947,1
-0.08,DB00482,DB01217,0
10.07,DB00482,DB01268,0
1.14,DB00481,DB00399,0
-7.38,DB01073,DB01033,0
2.97,DB06813,DB01030,0
-2.62,DB00317,DB00290,0
7.92,DB00398,DB04845,0
-4.05,DB00675,DB01030,0
1.71,DB01005,DB01041,0
-2.55,DB01268,DB00188,0
-4.29,DB00317,DB01254,22
3.24,DB00648,DB01041,0
1.16,DB00619,DB00928,0
1.52,DB00553,DB04845,0
1.81,DB00482,DB00398,1
-0.37,DB00563,DB01103,0
-1.55,DB00481,DB08828,0
-0.89,DB00290,DB06813,0
3.74,DB06813,DB04845,0
-2.12,DB00928,DB01103,0
12.38,DB01103,DB00262,0
-1.99,DB01268,DB01033,0
-6.67,DB00987,DB01268,0
-1.74,DB01229,DB00262,0
-1.43,DB00481,DB01030,0
0.67,DB00675,DB06813,0
-2.1,DB00928,DB00553,0
-2.33,DB00563,DB01073,0
-0.88,DB04868,DB00188,0
-3.96,DB00675,DB00648,0
1.41,DB00481,DB01030,0
1.78,DB00675,DB04868,0
-0.65,DB00481,DB01005,0
-2.72,DB01005,DB00262,0
-5.74,DB01254,DB00290,0
5.44,DB00675,DB00553,0
7.16,DB00755,DB00398,0
-4.12,DB01073,DB01229,0
-3.64,DB01073,DB01103,0
-1.98,DB00755,DB01217,0
-4.28,DB01006,DB06813,0
-1.78,DB00947,DB00724,0
1.96,DB01073,DB00619,0
5.53,DB01217,DB00188,0
-5.55,DB00947,DB00928,0
-1.92,DB00928,DB01268,0
4.14,DB01006,DB00755,0
5.22,DB00755,DB04845,0
9.72,DB00755,DB04845,0
-2.15,DB00481,DB01005,0
-7.28,DB00380,DB01254,0
0.31,DB00398,DB01033,0
-5.42,DB00290,DB00553,0
-2.14,DB00724,DB01030,0
3.95,DB00398,DB04845,0
-1.93,DB00481,DB00648,0
-0.45,DB00648,DB00724,0
0.22,DB00675,DB01254,1
-1.41,DB06813,DB00563,1
3.08,DB00755,DB00619,0
-0.66,DB01103,DB00262,0
2.54,DB01033,DB01143,0
0.65,DB00481,DB00188,0
-0.42,DB00399,DB04845,0
1.31,DB01229,DB00553,0
-9.75,DB00987,DB00928,0
0.41,DB00987,DB01005,0
-6.67,DB01006,DB01073,0
-0.87,DB00947,DB01217,0
2.14,DB00481,DB00724,0
0.97,DB01259,DB00724,0
1.92,DB00482,DB01103,0
2.86,DB00481,DB01217,0
1.14,DB06813,DB01041,0
8.91,DB00482,DB01073,0
-2.98,DB00694,DB01143,0
-9.18,DB00928,DB01041,0
5.19,DB00928,DB06813,0
-7.47,DB01229,DB01033,0
-3.9,DB00481,DB01030,0
-8.75,DB00987,DB04845,0
7.89,DB01103,DB00553,0
2.09,DB00544,DB01143,0
-2.14,DB01259,DB00398,4
-2.43,DB00947,DB01030,0
1.01,DB00755,DB00553,0
-0.84,DB01006,DB01030,0
3.73,DB00563,DB00553,0
6.44,DB01217,DB01143,0
-1.78,DB01254,DB00553,0
-4.4,DB00987,DB00553,0
-3.04,DB01103,DB01143,0
7.16,DB00675,DB01268,1
-1.96,DB00481,DB00262,0
-2.24,DB00290,DB01143,0
3.68,DB00553,DB01143,0
-2.27,DB01229,DB00290,0
2.8,DB00399,DB00262,0
-3.06,DB01005,DB06813,0
0.9,DB00481,DB01259,0
0.8,DB00619,DB00947,0
-10.56,DB01143,DB01030,0
3.25,DB00398,DB00399,0
-3.5,DB00675,DB01041,0
-5.04,DB00987,DB06813,0
-1.48,DB00563,DB01143,0
-1.29,DB01268,DB00262,0
-4.0,DB00482,DB00290,0
15.21,DB01254,DB01033,0
-0.96,DB00755,DB00262,0
0.15,DB00675,DB00290,0
-5.9,DB00755,DB01041,0
-4.8,DB01229,DB01143,0
-4.94,DB00481,DB00398,2
-6.9,DB01073,DB04868,0
1.97,DB00619,DB01041,0
-0.59,DB00947,DB00399,0
-0.95,DB00648,DB00553,0
-7.15,DB00481,DB00987,0
0.52,DB00928,DB01033,0
2.42,DB04868,DB01268,28
4.51,DB00563,DB01041,0
4.84,DB01006,DB00755,0
2.12,DB00481,DB01229,0
-1.89,DB00648,DB00188,0
-0.81,DB00317,DB00290,0
0.79,DB01204,DB01143,0
2.01,DB00675,DB00648,0
-6.88,DB01229,DB00399,0
-2.42,DB00481,DB01259,0
-2.08,DB00947,DB00398,0
-3.04,DB00351,DB01254,0
3.46,DB01268,DB01143,0
6.73,DB00482,DB00987,0
-3.73,DB00928,DB01268,0
4.34,DB00482,DB04868,2
-1.91,DB00482,DB00675,0
2.94,DB00398,DB01143,0
-3.74,DB01268,DB00553,0
-3.64,DB00987,DB01268,0
1.62,DB00947,DB00724,0
1.18,DB00399,DB01041,0
-3.84,DB00755,DB00188,0
-2.93,DB01073,DB04845,0
-7.62,DB01030,DB00262,0
0.77,DB01103,DB01030,0
-3.0,DB01006,DB01005,0
-0.19,DB00947,DB00399,0
0.7,DB00398,DB01041,0
-6.64,DB00928,DB01103,0
-0.87,DB01073,DB00619,0
1.43,DB00675,DB01030,0
0.36,DB00755,DB04868,0
5.78,DB01041,DB00553,0
2.1,DB04868,DB00648,0
2.95,DB00675,DB01030,0
1.08,DB00398,DB01217,0
-9.48,DB00290,DB00947,0
6.06,DB01103,DB00553,0
-2.49,DB01073,DB01259,0
1.76,DB00648,DB00188,0
3.18,DB00619,DB01259,1
-0.31,DB00481,DB00648,0
-6.11,DB01229,DB00553,0
-13.01,DB00290,DB04845,0
-2.79,DB01229,DB01254,0
-6.85,DB00928,DB01268,0
11.12,DB00947,DB00724,0
-0.22,DB00694,DB00290,0
4.03,DB01006,DB00188,0
2.12,DB00648,DB06813,0
-3.49,DB01229,DB01030,0
8.46,DB01259,DB04845,0
-4.09,DB01073,DB01103,0
1.02,DB01041,DB04845,0
-6.06,DB01268,DB01030,0
-2.22,DB00928,DB01030,0
-11.22,DB01033,DB00188,0
5.02,DB00619,DB01217,0
1.67,DB01229,DB01217,0
3.96,DB01229,DB01259,0
1.41,DB00482,DB00619,1
0.29,DB00481,DB01041,0
-13.26,DB00553,DB01030,0
0.49,DB01254,DB00399,0
2.86,DB00987,DB00947,0
11.08,DB01229,DB01005,0
1.38,DB00480,DB00290,0
-2.18,DB00290,DB01143,0
-7.5,DB01206,DB00563,0
-6.06,DB01254,DB01103,0
3.67,DB00544,DB01143,0
1.99,DB00351,DB01254,0
-8.68,DB00987,DB01041,0
3.14,DB01268,DB00398,40
-0.16,DB01229,DB00262,0
3.17,DB00928,DB01143,0
-4.17,DB00987,DB00755,0
-3.5,DB00399,DB00553,0
-0.12,DB01005,DB00262,0
1.82,DB00619,DB06813,0
-9.24,DB00928,DB00724,0
-0.41,DB01268,DB01217,0
-0.35,DB01268,DB00398,40
16.66,DB00675,DB01229,0
0.91,DB01254,DB01259,6
6.95,DB00675,DB00290,0
9.01,DB00619,DB01254,13
1.64,DB00481,DB01103,1
2.87,DB00481,DB00262,0
5.93,DB00675,DB00648,0
2.6,DB01073,DB06813,0
8.73,DB01268,DB01005,0
-4.96,DB00482,DB00928,0
5.21,DB00755,DB00675,0
0.43,DB00755,DB00553,0
-2.86,DB00480,DB01143,0
0.39,DB00675,DB00399,0
2.06,DB01005,DB00398,0
-6.8,DB00987,DB00553,0
-2.38,DB00481,DB00480,0
3.45,DB01005,DB00398,0
4.36,DB00619,DB01030,1
-4.2,DB01073,DB01217,0
-2.72,DB00399,DB06813,0
-1.52,DB01005,DB00553,0
-5.08,DB00398,DB00563,0
1.28,DB00482,DB00755,0
0.76,DB01217,DB00553,0
8.03,DB06813,DB00563,1
-3.58,DB00724,DB01143,0
12.74,DB00399,DB00563,0
25.55,DB01229,DB00724,0
2.99,DB00928,DB00553,0
-3.46,DB00482,DB01268,0
-8.06,DB00928,DB01030,0
6.44,DB01005,DB01030,0
-3.71,DB00290,DB00724,0
-1.76,DB01041,DB00188,0
-1.37,DB00619,DB00399,0
-3.25,DB01073,DB00675,0
-1.14,DB01217,DB01143,0
0.46,DB00619,DB01005,0
-4.79,DB00648,DB01033,0
13.75,DB01268,DB01217,0
-2.17,DB01217,DB04868,0
2.48,DB00928,DB04845,0
-1.99,DB00262,DB04845,0
-2.89,DB04868,DB00399,0
-0.94,DB01005,DB01103,0
-4.65,DB00290,DB00262,0
-4.25,DB00380,DB00563,0
-9.66,DB04868,DB00290,0
-1.23,DB01143,DB04845,0
7.76,DB01005,DB00648,0
0.58,DB01259,DB04845,0
-6.91,DB01073,DB01030,0
4.67,DB00262,DB01143,0
-1.52,DB04868,DB00648,0
-1.07,DB00481,DB00553,0
4.03,DB04868,DB04845,0
-0.97,DB00724,DB01030,0
2.67,DB00482,DB01259,0
-3.04,DB01259,DB01268,5
0.74,DB04868,DB00262,0
0.67,DB00444,DB01143,0
-0.59,DB06813,DB00724,0
-6.18,DB00675,DB00928,0
-12.59,DB01206,DB00290,0
-1.55,DB00619,DB01259,1
-1.8,DB00481,DB00675,5
-8.95,DB01206,DB01254,0
6.48,DB00619,DB01254,13
-6.25,DB01259,DB01143,0
0.55,DB00987,DB01217,0
2.67,DB00290,DB00648,0
-8.5,DB01254,DB01143,0
1.88,DB01073,DB00553,0
-10.08,DB00399,DB01103,0
-0.93,DB00481,DB01217,0
3.55,DB00619,DB00188,0
2.71,DB00987,DB00619,0
1.81,DB04868,DB01268,28
2.06,DB00755,DB01229,0
-1.8,DB00755,DB00724,0
-4.35,DB01041,DB01143,0
6.41,DB00481,DB00553,0
-9.46,DB00399,DB00553,0
1.11,DB00947,DB01041,0
-1.3,DB00648,DB00724,0
2.28,DB06813,DB00188,0
-5.27,DB01259,DB01041,0
-2.83,DB01073,DB01103,0
-0.66,DB00399,DB00553,0
0.52,DB01103,DB04845,0
-2.28,DB00482,DB01254,1
7.9,DB00928,DB06813,0
2.34,DB00398,DB00399,0
-1.33,DB00290,DB01143,0
1.46,DB01259,DB06813,0
-0.5,DB00619,DB01033,0
-3.55,DB00987,DB00553,0
0.42,DB01006,DB04845,0
1.0,DB00675,DB00619,1
3.0,DB04868,DB01217,0
-3.62,DB00987,DB00928,0
7.98,DB00481,DB01204,0
1.93,DB01006,DB04845,0
-1.71,DB00675,DB00947,1
-0.55,DB01073,DB00399,0
-2.3,DB06813,DB01143,0
-0.29,DB00987,DB01033,0
-1.19,DB01006,DB00648,0
-0.25,DB00399,DB01143,0
-1.52,DB00481,DB00947,1
-1.22,DB00987,DB00675,0
5.74,DB00482,DB01229,0
-7.28,DB00675,DB01030,0
-3.9,DB01254,DB01030,0
-0.4,DB00947,DB01033,0
-0.29,DB01005,DB00398,0
4.28,DB01217,DB01143,0
-2.66,DB00675,DB01268,1
-0.87,DB00648,DB01041,0
0.24,DB00399,DB01143,0
6.94,DB00544,DB01254,0
4.02,DB01259,DB01268,5
1.57,DB00619,DB01217,0
-0.05,DB01005,DB00553,0
-2.12,DB00648,DB00553,0
3.95,DB00481,DB00563,0
0.53,DB04868,DB00928,0
2.49,DB01006,DB00724,0
-4.85,DB01006,DB01030,0
1.01,DB01217,DB01030,0
5.46,DB00481,DB00188,0
1.25,DB00481,DB00444,0
8.68,DB01041,DB01143,0
-2.61,DB00675,DB01143,0
3.61,DB00481,DB00399,0
9.5,DB01254,DB00648,0
-0.02,DB06813,DB00188,0
4.25,DB00399,DB01143,0
2.99,DB01204,DB01143,0
4.3,DB01103,DB00188,0
-7.38,DB01268,DB01033,0
-7.62,DB00755,DB01103,0
0.82,DB01268,DB01217,0
-1.31,DB00399,DB00188,0
-2.81,DB01005,DB01103,0
1.74,DB00619,DB00398,17
-3.45,DB01259,DB00947,0
-2.18,DB00481,DB00987,0
15.46,DB01073,DB00947,0
-0.89,DB00398,DB06813,0
0.12,DB00563,DB00675,0
-3.95,DB00481,DB04845,0
3.67,DB01268,DB00553,0
3.89,DB00928,DB04845,0
-7.91,DB00290,DB01217,0
10.83,DB01254,DB01143,0
20.52,DB00290,DB00648,0
-2.16,DB01268,DB00563,0
-1.71,DB00398,DB00399,0
-2.68,DB01204,DB01143,0
0.09,DB04868,DB00398,34
2.35,DB00675,DB00619,1
-7.63,DB00928,DB00553,0
-1.83,DB00482,DB00987,0
0.82,DB00947,DB00262,0
1.52,DB00399,DB01217,0
-0.92,DB00648,DB00262,0
2.03,DB01217,DB00724,0
2.68,DB01006,DB00724,0
-0.43,DB00399,DB01005,0
0.88,DB01103,DB00188,0
5.27,DB01259,DB04845,0
5.0,DB00648,DB00563,0
-2.27,DB01006,DB01103,0
-2.89,DB01143,DB00188,0
-0.29,DB01254,DB00648,0
-4.4,DB01268,DB01103,0
-7.05,DB00755,DB01033,0
-2.45,DB00481,DB00398,2
8.94,DB00947,DB00398,0
-2.41,DB01259,DB01005,0
0.47,DB00481,DB00675,5
-0.6,DB00947,DB00553,0
1.22,DB01041,DB04845,0
0.42,DB01103,DB00188,0
2.04,DB00947,DB00399,0
4.21,DB04868,DB00553,0
11.16,DB01268,DB00290,0
-5.86,DB00563,DB00553,0
2.58,DB00987,DB00675,0
-0.31,DB00398,DB01217,0
-1.79,DB00481,DB01041,0
6.69,DB00380,DB01143,0
1.35,DB00755,DB00290,0
-10.22,DB06813,DB01103,0
-16.81,DB00987,DB04845,0
5.58,DB00619,DB00947,0
7.33,DB01254,DB00290,0
2.38,DB01259,DB01041,0
1.37,DB01073,DB00553,0
-0.82,DB01006,DB00553,0
-0.46,DB01143,DB01030,0
2.5,DB01254,DB01259,6
-9.21,DB00987,DB01143,0
-2.63,DB00399,DB00553,0
7.77,DB01006,DB00987,0
5.62,DB01268,DB01041,1
0.82,DB01259,DB04845,0
14.61,DB00398,DB00648,0
2.29,DB01006,DB00724,0
8.72,DB01005,DB00563,0
3.46,DB01041,DB00724,0
-4.74,DB00544,DB01254,0
-0.78,DB01229,DB00553,0
-3.67,DB00317,DB01143,0
-1.62,DB01143,DB01030,0
2.23,DB00290,DB06813,0
0.78,DB01254,DB00947,0
-5.64,DB01229,DB00553,0
-3.51,DB00619,DB00262,0
-3.11,DB01206,DB00563,0
-11.04,DB00928,DB01259,0
0.72,DB00399,DB01005,0
-8.83,DB06813,DB01103,0
-1.24,DB00619,DB00262,0
0.94,DB01268,DB01143,0
1.34,DB01006,DB00755,0
-3.16,DB04868,DB00290,0
0.24,DB00481,DB00482,0
-10.14,DB00675,DB00928,0
-2.08,DB00481,DB00694,0
4.11,DB00755,DB00290,0
13.5,DB00481,DB04868,0
-1.07,DB01268,DB00724,0
3.2,DB06813,DB00188,0
-4.83,DB00399,DB01030,0
-1.06,DB00399,DB06813,0
-2.89,DB06813,DB00262,0
0.81,DB00481,DB00399,0
-7.01,DB01268,DB01103,0
-6.08,DB00675,DB00648,0
0.83,DB00648,DB00563,0
-2.08,DB00694,DB01143,0
-3.63,DB00675,DB01030,0
-2.29,DB00947,DB01217,0
5.76,DB01006,DB01229,0
4.34,DB01217,DB00188,0
-2.8,DB01268,DB01041,1
-1.98,DB01204,DB01259,0
3.98,DB00399,DB01030,0
7.2,DB00619,DB01229,0
-0.76,DB00987,DB00648,0
